NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,430.00161389005217
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,458.84099077208333
b38a03232f43b11c9d0788abaf060f7366053b6d,542.4781931775248
70b682d9a3636be23f6120fa9d6b164eb3c6002d,0.0
715494628a50142ce8cb17191cfe6d0f3cae0934,537.2170989485747
e656d6bad65c93fb2880f1eba5037008c8e75774,470.7082123113071
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,554.7604278397669
11539e86171bf07d3a36f09377d7f54ebcc8406a,424.1796001585641
043c544a2104aa8a9849f1a703a08d37a2f16839,486.4536211452249
76ba050e64ad100b856f0eaabd8f539d5c7dd185,465.7087391666985
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,1.444716635152389
db4da599aab5bb08dce27094a35fd3e36cd0abce,0.0
940aede382ccb332fab15d413217695ec44ca765,470.43774281205117
9ad714b116da76d878dd399d187fccc2dd13dd63,541.390506490452
dd34464a4d780b12a089347ad580418ac57a3055,516.6782164318664
f837a4cb05a5fd59d20138182f5e8c721eadd584,499.6054344997059
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0.0
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0.0
8b0c675d7fde14953668269d378c588f0df0498b,1.412160344434131
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,394.5419735271774
3d203727f27abd83b71732d88d8cb1cc099f363b,430.785413384564
d30d31c8ff45094e9a992c63d4a6f68b245a341a,69.04826558294293
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0.0
cbc301183dec912f3513ca766bf03dd565f3a38f,505.9116675529111
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,620.74508453392
11282da1ee78c8db45a041db4c744e33df489df0,451.60946092868534
03c67f683a415c2ea09b582248bd4cb08528c19d,576.6636312120398
046e844fb06a07ba30b41521f0065a8d9c6e5024,398.2499093528092
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,447.0113957501115
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,1.8401746137985775
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0.0
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,407.58945365800855
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,553.9783067220656
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,500.02437710061383
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,531.9732641552825
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,470.8522249948384
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,471.675345579533
59bfa081e020013410d9f60f91813964ba749bb2,430.6397590182865
f5e069ee3bc95998464e8ff5da048b7f999921ed,423.35386200446436
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,598.7223854920086
664f44258212a1f7e4086f2b4845d586c543fa3f,483.25759339174886
265cd7befa74a9f2a198fc57baec9858075f8419,414.56649645761837
6f9ac44919bbd204e0ef15185388fd2d4bc61253,506.4135672166667
78de1ee60b55766cc3eba4089e36c57139b66ebd,459.0137059956041
24550edb10f283ef4e953fd6a8fedbfa211bd456,1.2475848735877904
1e61a474acdc043eb39a89c17fab34bd2ea1a940,432.4572875548885
940af68ded6af2875708611051aa7ff3f134d80b,508.5120682860479
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,477.16937680601353
c76ddf6e9f80984e901b12f9462a3cf029bea290,485.9003489465916
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,468.63381460864787
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,82.80405182174981
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,39.07046024024047
92823d467a2ced9529801e0e8a94802dd88f0c17,456.8047046803416
